/Users/oliverclive-griffin/personal/transformer-from-scratch/train.py:65: UserWarning: The operator 'aten::roll' is not currently supported on the MPS backend and will fall back to run on the CPU. This may have performance implications. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/mps/MPSFallback.mm:11.)
  y = torch.roll(x, -1, dims=-1)
epoch 0 batch 0 loss 3.907773017883301
epoch 0 batch 1 loss 3.8165395259857178
epoch 0 batch 2 loss 3.7698264122009277
epoch 0 batch 3 loss 3.6492044925689697
epoch 0 batch 4 loss 3.569179058074951
epoch 0 batch 5 loss 3.5162816047668457
epoch 0 batch 6 loss 3.452314615249634
epoch 0 batch 7 loss 3.3380532264709473
epoch 0 batch 8 loss 3.3207969665527344
epoch 0 batch 9 loss 3.2778501510620117
epoch 0 batch 10 loss 3.216108798980713
epoch 0 batch 11 loss 3.1681876182556152
epoch 0 batch 12 loss 3.1623990535736084
epoch 0 batch 13 loss 3.0947988033294678
epoch 0 batch 14 loss 3.079533100128174
epoch 0 batch 15 loss 3.069289207458496
epoch 0 batch 16 loss 2.9977707862854004
epoch 0 batch 17 loss 2.9857354164123535
epoch 0 batch 18 loss 2.977818727493286
epoch 0 batch 19 loss 2.9495458602905273
epoch 0 batch 20 loss 2.9238460063934326
epoch 0 batch 21 loss 2.932588815689087
epoch 0 batch 22 loss 2.8820180892944336
epoch 0 batch 23 loss 2.8635966777801514
epoch 0 batch 24 loss 2.8652095794677734
epoch 0 batch 25 loss 2.7920308113098145
epoch 0 batch 26 loss 2.799434185028076
epoch 0 batch 27 loss 2.795895576477051
epoch 0 batch 28 loss 2.774489402770996
epoch 0 batch 29 loss 2.7704668045043945
epoch 0 batch 30 loss 2.7676234245300293
epoch 0 batch 31 loss 2.777641534805298
epoch 0 batch 32 loss 2.761042594909668
epoch 0 batch 33 loss 2.7424254417419434
epoch 0 batch 34 loss 2.750971794128418
epoch 0 batch 35 loss 2.695716381072998
epoch 0 batch 36 loss 2.6920878887176514
epoch 0 batch 37 loss 2.6977035999298096
epoch 0 batch 38 loss 2.66153621673584
epoch 0 batch 39 loss 2.6794748306274414
epoch 0 batch 40 loss 2.6732611656188965
epoch 0 batch 41 loss 2.675588846206665
epoch 0 batch 42 loss 2.663853645324707
epoch 0 batch 43 loss 2.665785074234009
epoch 0 batch 44 loss 2.6419034004211426
epoch 0 batch 45 loss 2.6424076557159424
epoch 0 batch 46 loss 2.6181724071502686
epoch 0 batch 47 loss 2.6302013397216797
epoch 0 batch 48 loss 2.637087345123291
epoch 0 batch 49 loss 2.624462604522705
epoch 0 batch 50 loss 2.608248233795166
epoch 0 batch 51 loss 2.6146507263183594
epoch 0 batch 52 loss 2.599215030670166
epoch 0 batch 53 loss 2.601320743560791
/Users/oliverclive-griffin/.local/share/virtualenvs/transformer-from-scratch-IzBRPy8T/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:152: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
epoch 0
<>cn. ahetvdheoo-w\nodie<>
epoch 1 batch 0 loss 2.600214719772339
epoch 1 batch 1 loss 2.6053009033203125
epoch 1 batch 2 loss 2.599412202835083
epoch 1 batch 3 loss 2.5800070762634277
epoch 1 batch 4 loss 2.60927677154541
epoch 1 batch 5 loss 2.578049659729004
epoch 1 batch 6 loss 2.5862843990325928
epoch 1 batch 7 loss 2.637972593307495
epoch 1 batch 8 loss 2.5674004554748535
epoch 1 batch 9 loss 2.5785815715789795
epoch 1 batch 10 loss 2.560823678970337
epoch 1 batch 11 loss 2.571098804473877
epoch 1 batch 12 loss 2.5869204998016357
epoch 1 batch 13 loss 2.5607757568359375
epoch 1 batch 14 loss 2.5606698989868164
epoch 1 batch 15 loss 2.592167854309082
epoch 1 batch 16 loss 2.551964044570923
epoch 1 batch 17 loss 2.5512702465057373
epoch 1 batch 18 loss 2.5380735397338867
epoch 1 batch 19 loss 2.555102586746216
epoch 1 batch 20 loss 2.5892868041992188
epoch 1 batch 21 loss 2.5516257286071777
epoch 1 batch 22 loss 2.55397891998291
epoch 1 batch 23 loss 2.5292880535125732
epoch 1 batch 24 loss 2.557530164718628
epoch 1 batch 25 loss 2.571603775024414
epoch 1 batch 26 loss 2.530310869216919
epoch 1 batch 27 loss 2.552772283554077
epoch 1 batch 28 loss 2.5344576835632324
epoch 1 batch 29 loss 2.497431755065918
epoch 1 batch 30 loss 2.5286760330200195
epoch 1 batch 31 loss 2.532640218734741
epoch 1 batch 32 loss 2.5067405700683594
epoch 1 batch 33 loss 2.5186426639556885
epoch 1 batch 34 loss 2.5283403396606445
epoch 1 batch 35 loss 2.4918761253356934
epoch 1 batch 36 loss 2.5030388832092285
epoch 1 batch 37 loss 2.550370454788208
epoch 1 batch 38 loss 2.5494253635406494
epoch 1 batch 39 loss 2.5144078731536865
epoch 1 batch 40 loss 2.533782720565796
epoch 1 batch 41 loss 2.50093412399292
epoch 1 batch 42 loss 2.506843090057373
epoch 1 batch 43 loss 2.4787349700927734
epoch 1 batch 44 loss 2.5279853343963623
epoch 1 batch 45 loss 2.5319528579711914
epoch 1 batch 46 loss 2.498621702194214
epoch 1 batch 47 loss 2.5310451984405518
epoch 1 batch 48 loss 2.534888744354248
epoch 1 batch 49 loss 2.4988746643066406
epoch 1 batch 50 loss 2.5160398483276367
epoch 1 batch 51 loss 2.5046703815460205
epoch 1 batch 52 loss 2.499586582183838
epoch 1 batch 53 loss 2.5068421363830566
epoch 1
<>\ncpia,w\nttmp\n\nseiw\nku<>
epoch 2 batch 0 loss 2.5215909481048584
epoch 2 batch 1 loss 2.502636432647705
epoch 2 batch 2 loss 2.5212035179138184
epoch 2 batch 3 loss 2.531613349914551
epoch 2 batch 4 loss 2.5364491939544678
epoch 2 batch 5 loss 2.511260986328125
epoch 2 batch 6 loss 2.49538516998291
epoch 2 batch 7 loss 2.488830089569092
epoch 2 batch 8 loss 2.502486228942871
epoch 2 batch 9 loss 2.5137696266174316
epoch 2 batch 10 loss 2.5031590461730957
epoch 2 batch 11 loss 2.520902633666992
epoch 2 batch 12 loss 2.519353151321411
epoch 2 batch 13 loss 2.4892120361328125
epoch 2 batch 14 loss 2.535353660583496
epoch 2 batch 15 loss 2.535550117492676
epoch 2 batch 16 loss 2.476623058319092
epoch 2 batch 17 loss 2.457584857940674
epoch 2 batch 18 loss 2.5135631561279297
epoch 2 batch 19 loss 2.5157155990600586
epoch 2 batch 20 loss 2.5300309658050537
epoch 2 batch 21 loss 2.499197006225586
epoch 2 batch 22 loss 2.4872677326202393
epoch 2 batch 23 loss 2.5252668857574463
epoch 2 batch 24 loss 2.516728162765503
epoch 2 batch 25 loss 2.4738945960998535
epoch 2 batch 26 loss 2.4571399688720703
epoch 2 batch 27 loss 2.5041656494140625
epoch 2 batch 28 loss 2.4886467456817627
epoch 2 batch 29 loss 2.501476764678955
epoch 2 batch 30 loss 2.511403799057007
epoch 2 batch 31 loss 2.469419479370117
epoch 2 batch 32 loss 2.511033058166504
epoch 2 batch 33 loss 2.5041496753692627
epoch 2 batch 34 loss 2.505472183227539
epoch 2 batch 35 loss 2.4994330406188965
epoch 2 batch 36 loss 2.493584394454956
epoch 2 batch 37 loss 2.503021717071533
epoch 2 batch 38 loss 2.5036656856536865
epoch 2 batch 39 loss 2.479518175125122
epoch 2 batch 40 loss 2.515280246734619
epoch 2 batch 41 loss 2.4824366569519043
epoch 2 batch 42 loss 2.4749927520751953
epoch 2 batch 43 loss 2.4653079509735107
epoch 2 batch 44 loss 2.478191375732422
epoch 2 batch 45 loss 2.5537819862365723
epoch 2 batch 46 loss 2.4674224853515625
epoch 2 batch 47 loss 2.499436855316162
epoch 2 batch 48 loss 2.4840431213378906
epoch 2 batch 49 loss 2.470529556274414
epoch 2 batch 50 loss 2.4944381713867188
epoch 2 batch 51 loss 2.4960899353027344
epoch 2 batch 52 loss 2.482595205307007
epoch 2 batch 53 loss 2.442229747772217
epoch 2
<>j'iui\niwhoroomiuoouao<>
epoch 3 batch 0 loss 2.503599166870117
epoch 3 batch 1 loss 2.481710195541382
epoch 3 batch 2 loss 2.4667019844055176
epoch 3 batch 3 loss 2.5077176094055176
epoch 3 batch 4 loss 2.4722509384155273
epoch 3 batch 5 loss 2.4742629528045654
epoch 3 batch 6 loss 2.5040011405944824
epoch 3 batch 7 loss 2.5029168128967285
epoch 3 batch 8 loss 2.460330009460449
epoch 3 batch 9 loss 2.4589715003967285
epoch 3 batch 10 loss 2.507236957550049
epoch 3 batch 11 loss 2.4930450916290283
epoch 3 batch 12 loss 2.4551644325256348
epoch 3 batch 13 loss 2.4814462661743164
epoch 3 batch 14 loss 2.4843859672546387
epoch 3 batch 15 loss 2.5212631225585938
epoch 3 batch 16 loss 2.4882311820983887
epoch 3 batch 17 loss 2.4319262504577637
epoch 3 batch 18 loss 2.493195056915283
epoch 3 batch 19 loss 2.484652519226074
epoch 3 batch 20 loss 2.4472155570983887
epoch 3 batch 21 loss 2.4534549713134766
epoch 3 batch 22 loss 2.4894490242004395
epoch 3 batch 23 loss 2.486666202545166
epoch 3 batch 24 loss 2.4643311500549316
epoch 3 batch 25 loss 2.4802260398864746
epoch 3 batch 26 loss 2.4498116970062256
epoch 3 batch 27 loss 2.506291151046753
epoch 3 batch 28 loss 2.483243465423584
epoch 3 batch 29 loss 2.5004513263702393
epoch 3 batch 30 loss 2.4633240699768066
epoch 3 batch 31 loss 2.4550180435180664
epoch 3 batch 32 loss 2.487553358078003
epoch 3 batch 33 loss 2.475679397583008
epoch 3 batch 34 loss 2.4875783920288086
epoch 3 batch 35 loss 2.4357879161834717
epoch 3 batch 36 loss 2.5012965202331543
epoch 3 batch 37 loss 2.4836044311523438
epoch 3 batch 38 loss 2.4728970527648926
epoch 3 batch 39 loss 2.5407676696777344
epoch 3 batch 40 loss 2.465477228164673
epoch 3 batch 41 loss 2.4764628410339355
epoch 3 batch 42 loss 2.490612030029297
epoch 3 batch 43 loss 2.4742743968963623
epoch 3 batch 44 loss 2.502113103866577
epoch 3 batch 45 loss 2.4819607734680176
epoch 3 batch 46 loss 2.455355405807495
epoch 3 batch 47 loss 2.4756011962890625
epoch 3 batch 48 loss 2.4787163734436035
epoch 3 batch 49 loss 2.4335455894470215
epoch 3 batch 50 loss 2.4875354766845703
epoch 3 batch 51 loss 2.4510984420776367
epoch 3 batch 52 loss 2.466402053833008
epoch 3 batch 53 loss 2.487684488296509
epoch 3
<>wh:saf,ehho\niehaashei<>
epoch 4 batch 0 loss 2.4856200218200684
epoch 4 batch 1 loss 2.44303822517395
epoch 4 batch 2 loss 2.481175422668457
epoch 4 batch 3 loss 2.4821572303771973
epoch 4 batch 4 loss 2.4710817337036133
epoch 4 batch 5 loss 2.46689510345459
epoch 4 batch 6 loss 2.4865951538085938
epoch 4 batch 7 loss 2.4723329544067383
epoch 4 batch 8 loss 2.4333934783935547
epoch 4 batch 9 loss 2.461393356323242
epoch 4 batch 10 loss 2.484210729598999
epoch 4 batch 11 loss 2.4867403507232666
epoch 4 batch 12 loss 2.4561147689819336
epoch 4 batch 13 loss 2.486539125442505
epoch 4 batch 14 loss 2.4691295623779297
epoch 4 batch 15 loss 2.509735584259033
epoch 4 batch 16 loss 2.492259979248047
epoch 4 batch 17 loss 2.457634925842285
epoch 4 batch 18 loss 2.475588798522949
epoch 4 batch 19 loss 2.5246524810791016
epoch 4 batch 20 loss 2.4458348751068115
epoch 4 batch 21 loss 2.453977108001709
epoch 4 batch 22 loss 2.431483268737793
epoch 4 batch 23 loss 2.4658327102661133
epoch 4 batch 24 loss 2.429917097091675
epoch 4 batch 25 loss 2.463876247406006
epoch 4 batch 26 loss 2.457916736602783
epoch 4 batch 27 loss 2.468616008758545
epoch 4 batch 28 loss 2.4769129753112793
epoch 4 batch 29 loss 2.4764633178710938
epoch 4 batch 30 loss 2.438605308532715
epoch 4 batch 31 loss 2.4667153358459473
epoch 4 batch 32 loss 2.466301441192627
epoch 4 batch 33 loss 2.4794325828552246
epoch 4 batch 34 loss 2.4369425773620605
epoch 4 batch 35 loss 2.4766781330108643
epoch 4 batch 36 loss 2.470280885696411
epoch 4 batch 37 loss 2.4869019985198975
epoch 4 batch 38 loss 2.4470338821411133
epoch 4 batch 39 loss 2.440737724304199
epoch 4 batch 40 loss 2.4431874752044678
epoch 4 batch 41 loss 2.489651918411255
epoch 4 batch 42 loss 2.454732894897461
epoch 4 batch 43 loss 2.4751734733581543
epoch 4 batch 44 loss 2.4441027641296387
epoch 4 batch 45 loss 2.4394235610961914
epoch 4 batch 46 loss 2.486342430114746
epoch 4 batch 47 loss 2.445347547531128
epoch 4 batch 48 loss 2.4720335006713867
epoch 4 batch 49 loss 2.4928808212280273
epoch 4 batch 50 loss 2.4839563369750977
epoch 4 batch 51 loss 2.4521262645721436
epoch 4 batch 52 loss 2.4643349647521973
epoch 4 batch 53 loss 2.450277328491211
epoch 4
<>?\n\n\n  \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n<>
epoch 5 batch 0 loss 2.461451530456543
epoch 5 batch 1 loss 2.4819912910461426
epoch 5 batch 2 loss 2.4627842903137207
epoch 5 batch 3 loss 2.41640567779541
epoch 5 batch 4 loss 2.446772575378418
epoch 5 batch 5 loss 2.4855945110321045
epoch 5 batch 6 loss 2.4708261489868164
epoch 5 batch 7 loss 2.4651126861572266
epoch 5 batch 8 loss 2.484968423843384
epoch 5 batch 9 loss 2.468813180923462
epoch 5 batch 10 loss 2.4684321880340576
epoch 5 batch 11 loss 2.4537787437438965
epoch 5 batch 12 loss 2.4657092094421387
epoch 5 batch 13 loss 2.5155515670776367
epoch 5 batch 14 loss 2.4522347450256348
epoch 5 batch 15 loss 2.46506404876709
epoch 5 batch 16 loss 2.438380479812622
epoch 5 batch 17 loss 2.45229434967041
epoch 5 batch 18 loss 2.454106330871582
epoch 5 batch 19 loss 2.435715913772583
epoch 5 batch 20 loss 2.4158248901367188
epoch 5 batch 21 loss 2.45101261138916
epoch 5 batch 22 loss 2.4399261474609375
epoch 5 batch 23 loss 2.460625648498535
epoch 5 batch 24 loss 2.451859951019287
epoch 5 batch 25 loss 2.449157238006592
epoch 5 batch 26 loss 2.482666254043579
epoch 5 batch 27 loss 2.4370980262756348
epoch 5 batch 28 loss 2.4280176162719727
epoch 5 batch 29 loss 2.449655532836914
epoch 5 batch 30 loss 2.4292783737182617
epoch 5 batch 31 loss 2.40285062789917
epoch 5 batch 32 loss 2.419355630874634
epoch 5 batch 33 loss 2.4184157848358154
epoch 5 batch 34 loss 2.468264102935791
epoch 5 batch 35 loss 2.422788619995117
epoch 5 batch 36 loss 2.479612350463867
epoch 5 batch 37 loss 2.4888529777526855
epoch 5 batch 38 loss 2.4268758296966553
epoch 5 batch 39 loss 2.4606246948242188
epoch 5 batch 40 loss 2.4756627082824707
epoch 5 batch 41 loss 2.426725387573242
epoch 5 batch 42 loss 2.447984218597412
epoch 5 batch 43 loss 2.4649038314819336
epoch 5 batch 44 loss 2.459223747253418
epoch 5 batch 45 loss 2.4342823028564453
epoch 5 batch 46 loss 2.4561100006103516
epoch 5 batch 47 loss 2.4559154510498047
epoch 5 batch 48 loss 2.466738224029541
epoch 5 batch 49 loss 2.438006639480591
epoch 5 batch 50 loss 2.4299774169921875
epoch 5 batch 51 loss 2.485069751739502
epoch 5 batch 52 loss 2.461869478225708
epoch 5 batch 53 loss 2.4594271183013916
epoch 5
<>-cmrkd\nglttd\n\n \ny-e-i<>
epoch 6 batch 0 loss 2.434891939163208
epoch 6 batch 1 loss 2.4373106956481934
epoch 6 batch 2 loss 2.4493637084960938
epoch 6 batch 3 loss 2.3998968601226807
epoch 6 batch 4 loss 2.4155001640319824
epoch 6 batch 5 loss 2.4523065090179443
epoch 6 batch 6 loss 2.44339656829834
epoch 6 batch 7 loss 2.4796013832092285
epoch 6 batch 8 loss 2.4091949462890625
epoch 6 batch 9 loss 2.435877799987793
epoch 6 batch 10 loss 2.4118399620056152
epoch 6 batch 11 loss 2.4156527519226074
epoch 6 batch 12 loss 2.4997754096984863
epoch 6 batch 13 loss 2.4437296390533447
epoch 6 batch 14 loss 2.4405581951141357
epoch 6 batch 15 loss 2.3986072540283203
epoch 6 batch 16 loss 2.410738945007324
epoch 6 batch 17 loss 2.457137107849121
epoch 6 batch 18 loss 2.3893203735351562
epoch 6 batch 19 loss 2.4455809593200684
epoch 6 batch 20 loss 2.451777935028076
epoch 6 batch 21 loss 2.4059953689575195
epoch 6 batch 22 loss 2.4496583938598633
epoch 6 batch 23 loss 2.4159579277038574
epoch 6 batch 24 loss 2.420895576477051
epoch 6 batch 25 loss 2.454972982406616
epoch 6 batch 26 loss 2.4082155227661133
epoch 6 batch 27 loss 2.4293651580810547
epoch 6 batch 28 loss 2.432586669921875
epoch 6 batch 29 loss 2.447500228881836
epoch 6 batch 30 loss 2.451493501663208
epoch 6 batch 31 loss 2.4175655841827393
epoch 6 batch 32 loss 2.4585094451904297
epoch 6 batch 33 loss 2.412912607192993
epoch 6 batch 34 loss 2.42850923538208
epoch 6 batch 35 loss 2.4403929710388184
epoch 6 batch 36 loss 2.4422523975372314
epoch 6 batch 37 loss 2.4344522953033447
epoch 6 batch 38 loss 2.446908950805664
epoch 6 batch 39 loss 2.432854652404785
epoch 6 batch 40 loss 2.448244094848633
epoch 6 batch 41 loss 2.4214518070220947
epoch 6 batch 42 loss 2.467466354370117
epoch 6 batch 43 loss 2.4430766105651855
epoch 6 batch 44 loss 2.4478516578674316
epoch 6 batch 45 loss 2.4200210571289062
epoch 6 batch 46 loss 2.40720796585083
epoch 6 batch 47 loss 2.4545600414276123
epoch 6 batch 48 loss 2.424269199371338
epoch 6 batch 49 loss 2.4532036781311035
epoch 6 batch 50 loss 2.4441771507263184
epoch 6 batch 51 loss 2.4436352252960205
epoch 6 batch 52 loss 2.456615447998047
epoch 6 batch 53 loss 2.4531707763671875
epoch 6
<>'ss\nde dssovsst   td <>
