/Users/oliverclive-griffin/personal/transformer-from-scratch/train.py:65: UserWarning: The operator 'aten::roll' is not currently supported on the MPS backend and will fall back to run on the CPU. This may have performance implications. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/mps/MPSFallback.mm:11.)
  y = torch.roll(x, -1, dims=-1)
epoch 0 batch 0 loss 3.8433170318603516
epoch 0 batch 1 loss 3.6840221881866455
epoch 0 batch 2 loss 3.5929670333862305
epoch 0 batch 3 loss 3.404873847961426
epoch 0 batch 4 loss 3.276637077331543
epoch 0 batch 5 loss 3.2378616333007812
epoch 0 batch 6 loss 3.1844990253448486
epoch 0 batch 7 loss 3.1032943725585938
epoch 0 batch 8 loss 3.0480728149414062
epoch 0 batch 9 loss 2.9985647201538086
epoch 0 batch 10 loss 2.966475009918213
epoch 0 batch 11 loss 2.9337151050567627
epoch 0 batch 12 loss 2.887122631072998
epoch 0 batch 13 loss 2.7848246097564697
epoch 0 batch 14 loss 2.7649312019348145
epoch 0 batch 15 loss 2.758828639984131
epoch 0 batch 16 loss 2.80456280708313
epoch 0 batch 17 loss 2.765481948852539
epoch 0 batch 18 loss 2.722700595855713
epoch 0 batch 19 loss 2.7806735038757324
epoch 0 batch 20 loss 2.7802159786224365
epoch 0 batch 21 loss 2.950113534927368
epoch 0 batch 22 loss 2.7937474250793457
epoch 0 batch 23 loss 2.564833402633667
epoch 0 batch 24 loss 2.778345823287964
epoch 0 batch 25 loss 2.684582233428955
epoch 0 batch 26 loss 2.6062614917755127
epoch 0 batch 27 loss 2.6836423873901367
epoch 0 batch 28 loss 2.5673651695251465
epoch 0 batch 29 loss 2.626056432723999
epoch 0 batch 30 loss 2.5869193077087402
epoch 0 batch 31 loss 2.607991933822632
epoch 0 batch 32 loss 2.5424985885620117
epoch 0 batch 33 loss 2.5702414512634277
epoch 0 batch 34 loss 2.596674919128418
epoch 0 batch 35 loss 2.6118006706237793
epoch 0 batch 36 loss 2.659388780593872
epoch 0 batch 37 loss 2.5723047256469727
epoch 0 batch 38 loss 2.6410117149353027
epoch 0 batch 39 loss 2.5816762447357178
epoch 0 batch 40 loss 2.541018486022949
epoch 0 batch 41 loss 2.618518829345703
epoch 0 batch 42 loss 2.578554153442383
epoch 0 batch 43 loss 2.646101951599121
