/Users/oliverclive-griffin/personal/transformer-from-scratch/train.py:63: UserWarning: The operator 'aten::roll' is not currently supported on the MPS backend and will fall back to run on the CPU. This may have performance implications. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/mps/MPSFallback.mm:11.)
  y = torch.roll(x, -1, dims=-1)
epoch 0 batch 0 loss 4.054839134216309
epoch 0 batch 1 loss 3.662834405899048
epoch 0 batch 2 loss 3.342228889465332
epoch 0 batch 3 loss 3.164128065109253
epoch 0 batch 4 loss 3.044638156890869
epoch 0 batch 5 loss 2.9961485862731934
epoch 0 batch 6 loss 2.9014995098114014
epoch 0 batch 7 loss 2.8545498847961426
epoch 0 batch 8 loss 2.8337948322296143
epoch 0 batch 9 loss 2.783545970916748
epoch 0 batch 10 loss 2.754102945327759
epoch 0 batch 11 loss 2.7446107864379883
epoch 0 batch 12 loss 2.6962890625
epoch 0 batch 13 loss 2.694103717803955
epoch 0 batch 14 loss 2.6572651863098145
epoch 0 batch 15 loss 2.637714385986328
epoch 0 batch 16 loss 2.6209487915039062
epoch 0 batch 17 loss 2.606976270675659
epoch 0 batch 18 loss 2.6472339630126953
epoch 0 batch 19 loss 2.6098480224609375
epoch 0 batch 20 loss 2.570962905883789
epoch 0 batch 21 loss 2.592689037322998
epoch 0 batch 22 loss 2.572497844696045
epoch 0 batch 23 loss 2.570690155029297
epoch 0 batch 24 loss 2.581554889678955
epoch 0 batch 25 loss 2.565539598464966
epoch 0 batch 26 loss 2.558992385864258
epoch 0 batch 27 loss 2.5676071643829346
epoch 0 batch 28 loss 2.5447144508361816
epoch 0 batch 29 loss 2.5028014183044434
epoch 0 batch 30 loss 2.5158798694610596
epoch 0 batch 31 loss 2.5174713134765625
epoch 0 batch 32 loss 2.5417046546936035
epoch 0 batch 33 loss 2.522376537322998
epoch 0
<>qaa ;iiiai\n,t arar\nui<>
epoch 1 batch 0 loss 2.523440361022949
epoch 1 batch 1 loss 2.5168962478637695
epoch 1 batch 2 loss 2.5400049686431885
epoch 1 batch 3 loss 2.482093095779419
epoch 1 batch 4 loss 2.498495101928711
epoch 1 batch 5 loss 2.514186143875122
epoch 1 batch 6 loss 2.4972527027130127
epoch 1 batch 7 loss 2.5202128887176514
epoch 1 batch 8 loss 2.506042003631592
epoch 1 batch 9 loss 2.493955373764038
epoch 1 batch 10 loss 2.467597484588623
epoch 1 batch 11 loss 2.483443260192871
epoch 1 batch 12 loss 2.5081565380096436
epoch 1 batch 13 loss 2.4817428588867188
epoch 1 batch 14 loss 2.4741950035095215
epoch 1 batch 15 loss 2.520364761352539
epoch 1 batch 16 loss 2.509028196334839
epoch 1 batch 17 loss 2.506417989730835
epoch 1 batch 18 loss 2.530876874923706
epoch 1 batch 19 loss 2.493274211883545
epoch 1 batch 20 loss 2.517061710357666
epoch 1 batch 21 loss 2.4957010746002197
epoch 1 batch 22 loss 2.498806953430176
epoch 1 batch 23 loss 2.4966776371002197
epoch 1 batch 24 loss 2.5038981437683105
epoch 1 batch 25 loss 2.4906954765319824
epoch 1 batch 26 loss 2.5063958168029785
epoch 1 batch 27 loss 2.470463991165161
epoch 1 batch 28 loss 2.5178933143615723
epoch 1 batch 29 loss 2.4886975288391113
epoch 1 batch 30 loss 2.479743003845215
epoch 1 batch 31 loss 2.4971330165863037
epoch 1 batch 32 loss 2.507462501525879
epoch 1 batch 33 loss 2.4938807487487793
epoch 1
<>?\n\n\na\n\n\n\n\n\n \n\n  \np \n\n<>
epoch 2 batch 0 loss 2.481645107269287
epoch 2 batch 1 loss 2.489201784133911
epoch 2 batch 2 loss 2.474402904510498
epoch 2 batch 3 loss 2.4768123626708984
epoch 2 batch 4 loss 2.4797940254211426
epoch 2 batch 5 loss 2.489123821258545
